?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_33323>	<http://www.w3.org/2000/01/rdf-schema#label>	"francium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33392>	<http://www.w3.org/2000/01/rdf-schema#label>	"californium atom"	
<https://w3id.org/pmd/co/PMD_0020074>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of caesium"@en	
<https://w3id.org/pmd/co/PMD_0020060>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of lead"@en	
<https://w3id.org/pmd/co/PMD_0050076>	<http://www.w3.org/2000/01/rdf-schema#label>	"alumina matrix composites"@en	
<https://w3id.org/pmd/co/PMD_0060008>	<http://www.w3.org/2000/01/rdf-schema#label>	"recipe"@en	
<https://w3id.org/pmd/co/PMD_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of matter"@en	
<https://w3id.org/pmd/co/PMD_0050125>	<http://www.w3.org/2000/01/rdf-schema#label>	"aluminosilicate gorilla glass"@en	
<https://w3id.org/pmd/co/PMD_0020059>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of sulfur"@en	
<https://w3id.org/pmd/co/PMD_0050111>	<http://www.w3.org/2000/01/rdf-schema#label>	"barium glass"@en	
<https://w3id.org/pmd/co/PMD_0020139>	<http://www.w3.org/2000/01/rdf-schema#label>	"melt"@en	
<https://w3id.org/pmd/co/PMD_0020139>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schmelze"@de	
<https://w3id.org/pmd/co/PMD_0020090>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of uranium"@en	
<https://w3id.org/pmd/co/PMD_0000569>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichten Aus Dem Gasförmigen Oder Dampfförmigen Zustand"@de	
<https://w3id.org/pmd/co/PMD_0000569>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating from the gaseous or vapour state"@en	
<https://w3id.org/pmd/co/PMD_0000649>	<http://www.w3.org/2000/01/rdf-schema#label>	"forming under compressive and tensile conditions"@en	
<https://w3id.org/pmd/co/PMD_0000649>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zugdruckumformen"@de	
<https://w3id.org/pmd/co/PMD_0000635>	<http://www.w3.org/2000/01/rdf-schema#label>	"evolution of damage"@en	
<https://w3id.org/pmd/co/PMD_0000866>	<http://www.w3.org/2000/01/rdf-schema#label>	"multiscale simulation"@en	
<https://w3id.org/pmd/co/PMD_0000866>	<http://www.w3.org/2000/01/rdf-schema#label>	"Multiskalensimulation"@de	
<https://w3id.org/pmd/co/PMD_0000901>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping by welding"@en	
